Amp_hr,Volts,Cycle
4.2,3.5514935065853264,Charge 2
4.17889447236181,3.5580689987505942,Charge 2
4.1577889447236185,3.5635765551747505,Charge 2
4.136683417085427,3.567991552916822,Charge 2
4.115577889447237,3.574756696755902,Charge 2
4.0944723618090455,3.5800867758116284,Charge 2
4.073366834170855,3.584259155906965,Charge 2
4.052261306532664,3.591362157919849,Charge 2
4.0311557788944725,3.5977021995592042,Charge 2
4.010050251256282,3.6021541604154237,Charge 2
3.988944723618091,3.606900244047844,Charge 2
3.9678391959799,3.613444447041552,Charge 2
3.946733668341709,3.6201582310079137,Charge 2
3.925628140703518,3.6267094198549916,Charge 2
3.904522613065327,3.633021891988844,Charge 2
3.883417085427136,3.6382236120931517,Charge 2
3.8623115577889453,3.6451366492080384,Charge 2
3.8412060301507545,3.6498582619815423,Charge 2
3.820100502512563,3.6564142786269986,Charge 2
3.7989949748743723,3.6643055501856354,Charge 2
3.7778894472361815,3.672872923381445,Charge 2
3.75678391959799,3.676423023653847,Charge 2
3.7356783919597993,3.684735174215334,Charge 2
3.7145728643216085,3.689943947008165,Charge 2
3.6934673366834176,3.6974584173165668,Charge 2
3.672361809045227,3.703654165202429,Charge 2
3.6512562814070355,3.7105051258243607,Charge 2
3.6301507537688447,3.7169073002961714,Charge 2
3.609045226130654,3.723016011997529,Charge 2
3.5879396984924625,3.7298092200107833,Charge 2
3.5668341708542717,4.3,Charge 2
3.545728643216081,4.3,Charge 2
3.52462311557789,4.3,Charge 2
3.503517587939699,4.3,Charge 2
3.482412060301508,4.3,Charge 2
3.461306532663317,4.3,Charge 2
3.440201005025126,4.3,Charge 2
3.419095477386935,4.3,Charge 2
3.397989949748744,4.3,Charge 2
3.376884422110553,4.3,Charge 2
3.3557788944723623,4.3,Charge 2
3.3346733668341715,4.2952868724816815,Charge 2
3.31356783919598,4.264328711293322,Charge 2
3.2924623115577893,4.231357530329658,Charge 2
3.2713567839195985,4.193247627421074,Charge 2
3.250251256281407,4.158149705418987,Charge 2
3.2291457286432164,4.122007567604173,Charge 2
3.2080402010050255,4.085636566983825,Charge 2
3.1869346733668347,4.052414942858222,Charge 2
3.165829145728644,4.0198496576071845,Charge 2
3.1447236180904525,3.9897448174689365,Charge 2
3.1236180904522617,3.9626381977975544,Charge 2
3.102512562814071,3.9367402993931857,Charge 2
3.0814070351758795,3.9164480277821894,Charge 2
3.0603015075376887,3.9021153203473067,Charge 2
3.039195979899498,3.889546240399729,Charge 2
3.018090452261307,3.8819392797031473,Charge 2
2.996984924623116,3.877269677803519,Charge 2
2.975879396984925,3.88202537706534,Charge 2
2.954773869346734,3.8874941946160795,Charge 2
2.933668341708543,3.897205411121715,Charge 2
2.912562814070352,3.914880134959972,Charge 2
2.891457286432161,3.9336041873622056,Charge 2
2.87035175879397,3.956932840604263,Charge 2
2.8492462311557794,3.98662423579156,Charge 2
2.8281407035175885,4.014662602791617,Charge 2
2.807035175879397,4.0492437151320395,Charge 2
2.7859296482412064,4.083064320885975,Charge 2
2.7648241206030155,4.121173483942059,Charge 2
2.7437185929648242,4.157581806011623,Charge 2
2.7226130653266334,4.197116449480021,Charge 2
2.7015075376884425,4.236070185461563,Charge 2
2.6804020100502517,4.273023344928205,Charge 2
2.659296482412061,4.3,Charge 2
