Cycle_Number,Amp_hr_actual,Volts,Type
3,4.2,3.297955683636089,Discharge
3,4.17889447236181,3.3028023788477316,Discharge
3,4.1577889447236185,3.3079507267812516,Discharge
3,4.136683417085427,3.3127792877063236,Discharge
3,4.115577889447237,3.318536691909692,Discharge
3,4.0944723618090455,3.3255337746375275,Discharge
3,4.073366834170854,3.33032998435043,Discharge
3,4.052261306532664,3.338563011955005,Discharge
3,4.0311557788944725,3.3447644511264625,Discharge
3,4.010050251256281,3.3508258926464456,Discharge
3,3.988944723618091,3.3558615029439545,Discharge
3,3.9678391959798995,3.365065231186932,Discharge
3,3.9467336683417087,3.3697043339710504,Discharge
3,3.925628140703518,3.376862074087121,Discharge
3,3.904522613065327,3.3856232683135947,Discharge
3,3.883417085427136,3.391793113397932,Discharge
3,3.862311557788945,3.400719714525974,Discharge
3,3.841206030150754,3.4064021510029803,Discharge
3,3.820100502512563,3.4090528494545485,Discharge
3,3.798994974874372,3.422481176574305,Discharge
3,3.777889447236181,3.48168031512169,Discharge
3,3.7567839195979906,3.499651232788892,Discharge
3,3.7356783919597993,3.5038109239823547,Discharge
3,3.7145728643216085,3.512270471964063,Discharge
3,3.693467336683417,3.518638990051054,Discharge
3,3.6723618090452264,3.528453882789572,Discharge
3,3.6512562814070355,3.534212851287411,Discharge
3,3.630150753768844,3.5419600789419525,Discharge
3,3.609045226130654,3.5516918861304174,Discharge
3,3.5879396984924625,3.557029864556438,Discharge
3,3.5668341708542717,4.1,Discharge
3,3.545728643216081,4.1,Discharge
3,3.5246231155778895,4.1,Discharge
3,3.5035175879396987,4.1,Discharge
3,3.4824120603015074,4.1,Discharge
3,3.461306532663317,4.1,Discharge
3,3.440201005025126,4.1,Discharge
3,3.419095477386935,4.1,Discharge
3,3.397989949748744,4.1,Discharge
3,3.3768844221105527,4.1,Discharge
3,3.355778894472362,4.1,Discharge
3,3.334673366834171,4.1,Discharge
3,3.31356783919598,4.0969848793074295,Discharge
3,3.2924623115577893,4.0608328180257205,Discharge
3,3.2713567839195985,4.031783442925564,Discharge
