Amp_hr,Volts,Cycle
5.4,0.20131842994909838,Discharge 5
5.3728643216080405,0.19922982946562243,Discharge 5
5.345728643216081,0.1999661963737916,Discharge 5
5.318592964824121,0.1961722533484914,Discharge 5
5.291457286432161,0.19669545646458755,Discharge 5
5.264321608040201,0.1976307480141483,Discharge 5
5.237185929648241,0.19757832411267265,Discharge 5
5.210050251256282,0.19373273862499463,Discharge 5
5.1829145728643224,0.1948634478431667,Discharge 5
5.155778894472363,0.19280627079375862,Discharge 5
5.128643216080403,0.1924779472243478,Discharge 5
5.101507537688443,0.19337512256881667,Discharge 5
5.074371859296483,0.19369333889129206,Discharge 5
5.047236180904523,0.1915772117960543,Discharge 5
5.020100502512563,0.1908333947413992,Discharge 5
4.9929648241206035,0.18940432562634582,Discharge 5
4.965829145728643,0.18915490627154338,Discharge 5
4.938693467336684,0.18711467684045713,Discharge 5
4.911557788944724,0.18824182865598052,Discharge 5
4.884422110552764,0.18765290557667025,Discharge 5
4.857286432160804,0.24738841406582462,Discharge 5
4.830150753768844,0.2501470000626333,Discharge 5
4.8030150753768845,0.24796083091968824,Discharge 5
4.775879396984925,0.2485328784366794,Discharge 5
4.748743718592965,0.2468414588207438,Discharge 5
4.721608040201005,0.24977711770390842,Discharge 5
4.694472361809046,0.24866607897738152,Discharge 5
4.667336683417086,0.24930846492276235,Discharge 5
4.640201005025126,0.24857227987446817,Discharge 5
4.6130653266331665,0.2483798088355724,Discharge 5
4.585929648241207,0.24792368691351638,Discharge 5
4.558793969849247,0.24919112655848197,Discharge 5
4.531658291457287,0.24955174346634934,Discharge 5
4.504522613065327,0.2502500981693565,Discharge 5
4.477386934673367,0.2501436544372807,Discharge 5
4.450251256281407,0.2517754943779668,Discharge 5
4.4231155778894475,0.2520375859978826,Discharge 5
4.395979899497488,0.25207514035924256,Discharge 5
4.368844221105528,0.2542488353861801,Discharge 5
4.341708542713568,0.25373792864709965,Discharge 5
4.314572864321608,0.25284997103592965,Discharge 5
4.287437185929648,0.254400542351559,Discharge 5
4.260301507537688,0.25411799811770563,Discharge 5
4.233165829145729,0.2546320672719499,Discharge 5
4.20603015075377,0.25379494556365134,Discharge 5
4.17889447236181,0.2548175266427869,Discharge 5
4.15175879396985,0.25459867345032533,Discharge 5
4.124623115577889,0.25541406918911314,Discharge 5
4.09748743718593,0.2557001545431391,Discharge 5
4.07035175879397,0.2540718734487824,Discharge 5
4.0432160804020105,0.2529511132875944,Discharge 5
4.016080402010051,0.2517193228807588,Discharge 5
3.988944723618091,0.25017785727798064,Discharge 5
3.961809045226131,0.24916637135394584,Discharge 5
3.934673366834171,0.24976683588192666,Discharge 5
3.9075376884422113,0.24788709049110144,Discharge 5
3.8804020100502514,0.24659132210222504,Discharge 5
3.8532663316582916,0.2460156161706405,Discharge 5
3.826130653266332,0.24463576013648933,Discharge 5
3.7989949748743723,0.2421580700188253,Discharge 5
3.7718592964824125,0.180989896673216,Discharge 5
3.7447236180904526,0.18054346326414433,Discharge 5
3.7175879396984928,0.17840782734891544,Discharge 5
3.690452261306533,0.1765416657804562,Discharge 5
3.663316582914573,0.17591372520660972,Discharge 5
3.636180904522613,0.17580011939641238,Discharge 5
3.6090452261306534,0.17299576317938717,Discharge 5
3.581909547738694,0.17269135609527383,Discharge 5
3.554773869346734,0.17076425048009897,Discharge 5
3.5276381909547743,0.1708046005393488,Discharge 5
3.5005025125628144,0.170713289839656,Discharge 5
3.4733668341708546,0.170090513473431,Discharge 5
3.4462311557788947,0.16975068297579757,Discharge 5
3.419095477386935,0.1697160480506964,Discharge 5
3.3919597989949755,0.16704148211985345,Discharge 5
3.364824120603015,0.1670363309350081,Discharge 5
3.3376884422110558,0.1699983312166727,Discharge 5
3.310552763819096,0.1670143559708151,Discharge 5
3.283417085427136,0.16840201200904062,Discharge 5
3.256281407035176,0.1679092555383502,Discharge 5
3.2291457286432164,0.24770141204709614,Discharge 5
3.2020100502512565,0.2481713880496934,Discharge 5
3.1748743718592967,0.24753162864574801,Discharge 5
3.147738693467337,0.24848075976731,Discharge 5
3.120603015075377,0.24772321058631425,Discharge 5
3.0934673366834176,0.24884324718166273,Discharge 5
3.0663316582914577,0.24810646444299586,Discharge 5
3.039195979899498,0.24778275930117963,Discharge 5
3.012060301507538,0.24762167156013834,Discharge 5
2.984924623115578,0.2457664870441001,Discharge 5
2.9577889447236183,0.2451362709921794,Discharge 5
2.9306532663316585,0.24513299625112012,Discharge 5
2.9035175879396986,0.24313784268446675,Discharge 5
2.8763819095477388,0.2440523689625286,Discharge 5
2.8492462311557794,0.2418474082722386,Discharge 5
2.8221105527638195,0.24058536865905786,Discharge 5
2.7949748743718597,0.2400265177299654,Discharge 5
2.7678391959799,0.2389217135981615,Discharge 5
2.74070351758794,0.23633708420139402,Discharge 5
2.71356783919598,0.2347729381326563,Discharge 5
2.6864321608040203,0.23493595284626898,Discharge 5
2.6592964824120604,0.23384141460206054,Discharge 5
2.6321608040201006,0.23209380830347046,Discharge 5
